,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
0,McKinsey,"San Francisco, CA ",10/17/20,Senior Associate,Analytic, 7,"$198,000"
1,Facebook,"Menlo Park, CA ",10/16/20,L4,Product, 5,"$177,000"
2,Accenture,"San Francisco, CA ",10/15/20,Consultant,Analytic, 3,"$120,000"
3,Salesforce,"Atlanta, GA ",10/15/20,8,Operations, 7,"$178,000"
4,Oracle,"San Francisco, CA ",10/14/20,IC-4,Consumer,10,"$82,000"
5,Accenture,"Detroit, MI ",10/12/20,11,Growth, 1,"$90,000"
6,T-Mobile,"Seattle, WA ",10/12/20,l8,Operations,12,"$200,000"
7,Ibm,"Dublin, DN, Ireland ",10/12/20,B6,Technical, 2,"$50,000"
8,Accenture,"San Francisco, CA ",10/12/20,L11,Growth, 2,"$93,000"
9,Deloitte,"Atlanta, GA ",10/12/20,Analyst,Operations, 1,"$90,000"
10,Salesforce,"Lexington, KY ",10/11/20,7,User Journey,10,"$110,000"
11,Deloitte,"Houston, TX ",10/11/20,Manager,Enterprise,,"$164,000"
12,Google,"Mountain View, CA ",10/11/20,Manager (L6),Enterprise,,"$320,000"
13,Bain,"Chicago, IL ",10/11/20,SAC,Generalist,,"$152,000"
14,BCG,"Dallas, TX ",10/11/20,Project Leader,Analytic,,"$250,000"
15,Deloitte,"Bangalore, KA, India ",10/11/20,Consultant,Consumer,,"$20,000"
16,Accenture,"Chicago, IL", 10/9/20,10,Talent,,"$90,000"
17,EY,"Chicago, IL", 10/9/20,Senior Consultant,Operations,,"$160,000"
18,deloitte,"Singapore, SG, Singapore", 10/8/20,4,Product,,"$200,000"
19,Ernst and Young,"Chicago, IL", 10/8/20,Senior Manager,Analytic,,"$221,000"
20,McKinsey,"New York, NY", 10/8/20,Analyst,Analytic,,"$130,000"
21,Accenture,"Chicago, IL", 10/8/20,Senior Analyst,Technical,,"$90,000"
22,McKinsey & Company,"Atlanta, GA", 10/7/20,Entry,Operations,,"$120,000"
23,Moody's Analytics,"New York, NY", 10/7/20,Associate Director,Analytic,,"$200,000"
24,Boston Consulting Group,"Boston, MA", 10/7/20,Principal,Growth,,"$350,000"
25,Deloitte,"Washington, DC", 10/7/20,Senior Consultant,Technical,,"$123,000"
26,PwC,"Houston, TX", 10/6/20,Manager,Enterprise,,"$150,000"
27,Booz Allen Hamilton,, 10/5/20,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
