,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
0,Amazon,"Seattle, WA ",10/17/20,L5,Consumer, 5,"$130,000"
1,Amazon,"Seattle, WA ",10/17/20,L6,Consumer, 7,"$175,000"
2,Google,"San Francisco, CA ",10/17/20,L4,Consumer, 5,"$188,000"
3,Red Hat,"London, EN, United Kingdom ",10/17/20,L5,Technical,20,"$165,000"
4,Facebook,"Menlo Park, CA ",10/16/20,IC4,Product, 4,"$203,000"
5,Amazon,"Seattle, WA ",10/14/20,L5,Operations, 5,"$117,000"
6,Expedia Group,"Dallas, TX ",10/14/20,K,Growth,10,"$90,000"
7,Amazon,"Palo Alto, CA ",10/14/20,L6,Product,12,"$241,000"
8,Microsoft,"Redmond, WA ",10/14/20,61,Product, 4,"$194,000"
9,Pagerduty,"San Francisco, CA ",10/14/20,Senior Manager,Growth,10,"$190,000"
10,Dropbox,"San Francisco, CA ",10/14/20,IC4,Enterprise,20,"$198,000"
11,Google,"Mountain View, CA ",10/14/20,L4,Product, 8,"$203,000"
12,Uber,"San Francisco, CA ",10/14/20,L4,Growth, 6,"$150,000"
13,Intuit,"Mountain View, CA ",10/14/20,Group Manager,Growth,15,"$290,000"
14,Audible,"Newark, NJ ",10/14/20,L5,Operations, 4,"$110,000"
15,Google,"New York, NY ",10/13/20,3,B2B, 4,"$146,000"
16,Microsoft,"Seattle, WA ",10/12/20,L3,Product, 5,"$140,000"
17,Square,"San Francisco, CA ",10/12/20,L5,Product, 5,"$210,000"
18,Google,"San Francisco, CA ",10/12/20,L5,Consumer, 8,"$281,000"
19,Capital One,"Arlington, VA", 10/9/20,Entry,Enterprise, 2,"$77,000"
20,Godaddy,"Washington, DC", 10/8/20,Director,Brand,10,"$225,000"
21,DoorDash,"San Francisco, CA", 10/8/20,Associate,Growth, 3,"$152,000"
22,IBM,"New York, NY", 10/8/20,B8,Events, 7,"$111,000"
23,HP,"San Diego, CA", 10/7/20,14,Growth, 5,"$90,000"
24,Adobe,"Atlanta, GA", 10/6/20,L5,Mktg, 8,"$220,000"
25,Netflix,"Los Angeles, CA", 10/6/20,Senior,Marketing, 9,"$385,000"
26,Amazon,"Seattle, WA", 10/6/20,L6,Product, 8,"$204,000"
27,Bank of America,"Wilmington, DE", 10/5/20,Assistant Vice President,Marketing,17,"$73,000"
28,Booking.com,"New York, NY", 10/5/20,G,US Marketing,10,"$256,000"
29,apple,"Nevada, IA", 10/5/20,L1,Technical, 0,"$39,000"
