,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
0,Morgan Stanley,"New York, NY ",10/18/20,Mid-level,User Experience (UX),,"$125,000"
1,Salesforce,"San Francisco, CA ",10/17/20,Product Designer,User Experience (UX),,"$174,000"
2,Google,"Mountain View, CA ",10/17/20,L3,User Experience (UX),,"$181,000"
3,Oracle,"Seattle, WA ",10/17/20,IC4,User Experience (UX),,"$210,000"
4,Lyft,"San Francisco, CA ",10/17/20,IC 3,User Experience (UX),,"$230,000"
5,Facebook,"Menlo Park, CA ",10/16/20,IC3,User Experience (UX),,"$140,000"
6,VMware,"Palo Alto, CA ",10/16/20,pd3,User Experience (UX),,"$152,000"
7,Google,"San Francisco, CA ",10/15/20,Senior Designer,User Experience (UX),,"$180,000"
8,Shopify,"Ottawa, ON, Canada ",10/15/20,L5,User Experience (UX),,"$90,000"
9,Apple,"San Francisco, CA ",10/14/20,ICT4,Interaction Design,,"$339,000"
10,Apple,"Cupertino, CA ",10/14/20,ICT4,Mobile,,"$349,000"
11,Apple,"Santa Clara, CA ",10/14/20,ICT3,Interaction Design,,"$230,000"
12,Facebook,"Menlo Park, CA ",10/13/20,IC5,User Experience (UX),,"$290,000"
13,SAP,"Palo Alto, CA ",10/13/20,T3,User Experience (UX),,"$145,000"
14,Broadcom,"Santa Clara, CA ",10/13/20,E3,User Experience (UX),,"$215,000"
15,Facebook,"Seattle, WA ",10/13/20,IC5,User Research,,"$240,000"
16,Facebook,"Washington, DC ",10/13/20,IC5,Web,,"$260,000"
17,Goldman Sachs,"New York, NY ",10/13/20,Associate,User Experience (UX),,"$140,000"
18,Dropbox,"San Francisco, CA ",10/12/20,L5,User Experience (UX),,"$513,000"
19,Verizon,"Basking Ridge, NJ ",10/12/20,L1,User Experience (UX),,"$116,000"
20,Target,"Minneapolis, MN ",10/12/20,L7,User Experience (UX),,"$236,000"
21,Amazon,"Amsterdam, NH, Netherlands ",10/12/20,L6,Web and Mobile,,"$112,000"
22,Amazon,"Amsterdam, NH, Netherlands ",10/12/20,L6,Web and Mobile,,"$112,000"
23,Dell,"Austin, TX ",10/11/20,Principal Designer,User Interfaces,,"$148,000"
24,Linkedin,"San Francisco, CA ",10/11/20,L3,User Experience (UX),,"$210,000"
25,Amazon,"Seattle, WA", 10/9/20,L5,User Experience (UX),,"$190,000"
26,SAP,"Palo Alto, CA", 10/9/20,T2,Mobile (iOS + Android),,"$132,000"
27,AT&T,"Austin, TX", 10/7/20,2,User Experience (UX),,"$115,000"
28,Salesforce,"Seattle, WA", 10/6/20,L7,User Experience (UX),,"$150,000"
29,Amazon,"Seattle, WA", 10/6/20,L5,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,Unity Technologies,"Vancouver, BC, Canad",| 9/7/20,na,User Experience (UX),,"$150,000"
101,ibm,"Austin, T",| 9/6/20,band 6,User Experience (UX),,"$88,000"
102,LinkedIn,"San Francisco, C",| 9/6/20,UED,User Experience (UX),,"$216,000"
