,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
0,Workday,"Pleasanton, CA ",10/18/20,P3,Product,,"$225,000"
1,Facebook,"Seattle, WA ",10/17/20,Rotational Product Manager (RPM),Product,,"$169,000"
2,Mastercard,"St. Louis, MO ",10/17/20,Lead,Technical,,"$130,000"
3,Mastercard,"New York, NY ",10/17/20,Senior Specialist,Product,,"$140,000"
4,Atlassian,"Sydney, NS, Australia ",10/17/20,L5,Product,,"$229,000"
5,Microsoft,"Redmond, WA ",10/17/20,64,Product,,"$301,000"
6,microsoft,"Seattle, WA ",10/16/20,66,Technical,,"$336,000"
7,Microsoft,"Seattle, WA ",10/16/20,59,Technical,,"$161,000"
8,Adobe,"San Jose, CA ",10/16/20,Senior Technical Product Manager,Product,,"$327,000"
9,McAfee,"Hyderabad, TS, India ",10/16/20,9,Product,,"$80,000"
10,Lyft,"San Francisco, CA ",10/16/20,L5,Internal,,"$360,000"
11,Mastercard,"New York, NY ",10/16/20,Director,Product,,"$240,000"
12,Google,"Mountain View, CA ",10/16/20,L3,Product,,"$180,000"
13,Amazon,"Bangalore, KA, India ",10/16/20,L7,Product,,"$156,000"
14,Amazon,"Seattle, WA ",10/15/20,L6,Infrastructure,,"$225,000"
15,Capital One,"Washington, DC ",10/15/20,Manager,Technical,,"$162,000"
16,Microsoft,"Seattle, WA ",10/15/20,67,Product,,"$600,000"
17,Google,"San Bruno, CA ",10/15/20,L7,Consumer,,"$750,000"
18,JPMorgan Chase,"Houston, TX ",10/15/20,Analyst,Infrastructure,,"$75,000"
19,Deliveroo,"London, EN, United Kingdom ",10/15/20,l6,Technical,,"$180,000"
20,GE Digital,"Atlanta, GA ",10/14/20,Principal,Enterprise,,"$175,000"
21,Dell,"Austin, TX ",10/14/20,E1,Enterprise,,"$650,000"
22,Google,"Mountain View, CA ",10/14/20,L6,Product,,"$420,000"
23,Ford Motor,"Detroit, MI ",10/14/20,L6,Product,,"$138,000"
24,TCS,"Chicago, IL ",10/14/20,C3,Internal,,"$150,000"
25,Microsoft,"Redmond, WA ",10/13/20,60,Infrastructure,,"$175,000"
26,Cisco Systems,"Sammamish, WA ",10/13/20,G13,Product,,"$388,000"
27,PayPal,"San Jose, CA ",10/13/20,T26,Consumer,,"$270,000"
28,Facebook,"Menlo Park, CA ",10/13/20,M2,Product,,"$800,000"
29,Apple,"Los Angeles, CA ",10/13/20,L2,Operations,,"$144,000"
30,Amazon,"San Francisco, CA ",10/13/20,L5,Product,,"$225,000"
31,Capital One,"Austin, TX ",10/13/20,Director,Consumer,,"$261,000"
32,Microsoft,"Sunnyvale, CA ",10/12/20,L61,Consumer,,"$172,000"
33,Goldman Sachs,"San Francisco, CA ",10/12/20,Vice President,Product,,"$400,000"
34,Charles Schwab,"San Francisco, CA ",10/12/20,58,Technical,,"$146,000"
35,Amazon,"Seattle, WA ",10/12/20,L6,Product,,"$370,000"
36,Microsoft,"Redmond, WA ",10/12/20,L68,Product,,"$682,000"
37,Roblox,"San Mateo, CA ",10/12/20,L1,Product,,"$228,000"
38,Uber,"San Francisco, CA ",10/12/20,Product Manager II,Product,,"$228,000"
39,Arm,"Nice, PR, France ",10/12/20,Grade 5,Product,,"$94,000"
40,Dropbox,"San Francisco, CA ",10/12/20,L4,Growth,,"$334,000"
41,Amazon,"Seattle, WA ",10/12/20,L7,Product,,"$485,000"
42,Deloitte,"Washington, DC ",10/12/20,Consultant,Product,,"$92,000"
43,IBM,"New Delhi, DL, India ",10/12/20,Band 8,Product,,"$39,000"
44,HPE,"Dublin, DN, Ireland ",10/12/20,Expert,Enterprise,,"$116,000"
45,Uber,"San Francisco, CA ",10/11/20,L4,Product,,"$228,000"
46,VMware,"Atlanta, GA ",10/11/20,L4,Enterprise,,"$175,000"
47,Visa,"San Francisco, CA ",10/11/20,Associate Product Manager,Product,,"$93,000"
48,Target,"Minneapolis, MN ",10/11/20,L6,Technical,,"$134,000"
49,SAP,"Palo Alto, CA ",10/11/20,T4PF,Enterprise,,"$228,000"
50,WarnerMedia,"London, EN, United Kingdom ",10/10/20,Director,Consumer,,"$152,000"
51,Instacart,"San Francisco, CA ",10/10/20,L1,Product,,"$180,000"
52,Adobe,"San Jose, CA ",10/10/20,L3,Product,,"$230,000"
53,Salesforce,"San Francisco, CA", 10/9/20,Director,Infrastructure,,"$335,000"
54,Wayfair,"Boston, MA", 10/9/20,L5,Product,,"$367,000"
55,Chegg,"Santa Clara, CA", 10/9/20,Senior,Product,,"$203,000"
56,Twitch,"San Francisco, CA", 10/9/20,L6,Product,,"$232,000"
57,ADP,"Los Angeles, CA", 10/8/20,N/A,Technical,,"$120,000"
58,Walmart Labs,"Sunnyvale, CA", 10/8/20,L6,Technical,,"$435,000"
59,Walmart Labs,"Sunnyvale, CA", 10/8/20,x5,Product,,"$245,000"
60,Twitter,"Cambridge, MA", 10/8/20,PM II,Product,,"$219,000"
61,Citrix Systems Inc,"Fort Lauderdale, FL", 10/8/20,IC4,Product,,"$205,000"
62,Goldman Sachs,"New York, NY", 10/8/20,Analyst,Product,,"$145,000"
63,Amazon,"Seattle, WA", 10/8/20,L7,Technical,,"$310,000"
64,Citi,"Singapore, SG, Singapore", 10/8/20,Director,Product,,"$280,000"
65,Coinbase,"San Francisco, CA", 10/7/20,L7,Technical,,"$535,000"
66,Dropbox,"San Francisco, CA", 10/7/20,L6,Product,,"$965,000"
67,Rally health,"San Francisco, CA", 10/7/20,Product Manager,Product,,"$195,000"
68,Microsoft,"Seattle, WA", 10/7/20,62,Product,,"$155,000"
69,Microsoft,"Seattle, WA", 10/7/20,67,Product,,"$550,000"
70,Microsoft,"Redmond, WA", 10/7/20,65,Technical,,"$310,000"
71,IBM,"Dallas, TX", 10/6/20,Band 7,Internal,,"$113,000"
72,Salesforce,"San Francisco, CA", 10/6/20,Senior Director,Product,,"$415,000"
73,Coinbase,"San Francisco, CA", 10/6/20,IC6,Enterprise,,"$350,000"
74,Google,"San Francisco, CA", 10/6/20,L6,Product,,"$175,000"
75,Amazon,"Seattle, WA", 10/5/20,L6,Product,,"$203,000"
76,Mixpanel,"San Francisco, CA", 10/5/20,L3,Product,,"$254,000"
77,Cisco,"San Jose, CA", 10/5/20,Grade 9,Product Management,,"$178,000"
78,Google,"Zurich, ZH, Switzerland", 10/5/20,L3,Product,,"$170,000"
79,Microsoft,"Redmond, WA", 10/5/20,66,Operations,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,"Seattle, WA", 10/1/20,,Product,,
95,Amazon,"Sunnyvale, CA", 9/30/20,Director,Technical,,"$625,000"
96,Facebook,"San Francisco, CA", 9/30/20,Rotational Product Manager (RPM),Product,,"$166,000"
97,Google,"Sunnyvale, CA", 9/30/20,L5,Enterprise,,"$394,000"
98,Amazon,"New York, NY", 9/30/20,L6,Technical,,"$360,000"
99,Salesforce,"Seattle, WA", 9/30/20,Senior Product Manager,Internal,,"$307,000"
100,DocuSign,"Chicago, IL", 9/30/20,P1,Product,,"$115,000"
101,Amazon,"Palo Alto, CA", 9/30/20,L6,Enterprise,,"$265,000"
