,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
0,Unity Technologies,"San Francisco, CA ",10/17/20,M7,ML / AI,,"$345,000"
1,Microsoft,"Redmond, WA ",10/16/20,65,Site Reliability (SRE),,"$294,000"
2,Google,"San Francisco, CA ",10/16/20,L3,Distributed Systems (Back-End),,"$180,000"
3,Expedia,"Chicago, IL ",10/15/20,N,Full Stack,,"$239,000"
4,Apple,"Shanghai, SH, China ",10/15/20,ICT5,Internet Services,,"$470,000"
5,Google,"San Francisco, CA ",10/15/20,L3,DevOps,,"$800,000"
6,Infosys,"Bloomington, IL ",10/15/20,JL6,Testing (SDET),,"$140,000"
7,KLA,"Ann Arbor, MI ",10/15/20,L4,Full Stack,,"$150,000"
8,Amazon,"Seattle, WA ",10/15/20,L7,Full Stack,,"$690,000"
9,Apple,"Sunnyvale, CA ",10/15/20,L3,DevOps,,"$218,000"
10,Wayfair,"Boston, MA ",10/14/20,L3,Data,,"$219,000"
11,Comcast,"Austin, TX ",10/14/20,L4,API Development (Back-End),,"$150,000"
12,Amazon,"Sydney, NS, Australia ",10/14/20,L6 SDM,Distributed Systems (Back-End),,"$348,000"
13,Amazon,"Seattle, WA ",10/14/20,6,Distributed Systems (Back-End),,"$405,000"
14,Cisco,"San Jose, CA ",10/14/20,Grade 11,Networking,,"$300,000"
15,Expedia,"Bellevue, WA ",10/13/20,M,ML / AI,,"$220,000"
16,Apple,"Cupertino, CA ",10/13/20,M2,Networking,,"$580,000"
17,Coursera,"Mountain View, CA ",10/13/20,M5,Full Stack,,"$480,000"
18,Facebook,"Boston, MA ",10/13/20,M1,Production,,"$500,000"
19,Oracle,"Austin, TX ",10/13/20,M4,API Development (Back-End),,"$370,000"
20,Infosys,"Bengaluru, KA, India ",10/13/20,L6,Full Stack,,"$17,000"
21,Roku,"San Jose, CA ",10/13/20,"Senior Manager, Software Engineering",API Development (Back-End),,"$425,000"
22,Google,"Seattle, WA ",10/13/20,Manager (L6),Distributed Systems (Back-End),,"$452,000"
23,Microsoft,"Tallinn, HA, Estonia ",10/12/20,63,Distributed Systems (Back-End),,"$98,000"
24,VMware,"Bellevue, WA ",10/12/20,L8,Distributed Systems (Back-End),,"$618,000"
25,Twilio,"Denver, CO ",10/12/20,L6,Distributed Systems (Back-End),,"$300,000"
26,Microsoft,"Seattle, WA ",10/12/20,66,Site Reliability (SRE),,"$350,000"
27,Google,"San Diego, CA ",10/12/20,L3,Mobile (iOS + Android),,"$40,000"
28,Cisco,"Chicago, IL ",10/12/20,Grade 12,Sales,,"$300,000"
29,Facebook,"London, EN, United Kingdom ",10/12/20,D1,Mobile (iOS + Android),,"$1,150,000"
30,Walmart Labs,"Bangalore, KA, India ",10/11/20,L6,ML / AI,,"$270,000"
31,Amazon,"Bellevue, WA ",10/11/20,L6 SDM,Full Stack,,"$256,000"
32,Amazon,"Seattle, WA ",10/11/20,L6,Full Stack,,"$260,000"
33,Boeing,"Los Angeles, CA ",10/11/20,L6,iOS,,"$740,000"
34,Microsoft,"Seattle, WA ",10/10/20,64,Distributed Systems (Back-End),,"$279,000"
35,Amazon,"Bangalore, KA, India ",10/10/20,L7,Full Stack,,"$151,000"
36,Amazon,"Seattle, WA ",10/10/20,L6,Distributed Systems (Back-End),,"$350,000"
