,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
0,Microsoft,"Pensacola, FL ",10/17/20,63,Azure and AI,10,"$198,000"
1,Intel,"Folsom, CA ",10/17/20,Grade 9,Production,13,"$200,000"
2,Intel,"Hillsboro, OR ",10/17/20,Grade 9,Hardware,17,"$230,000"
3,Microsoft,"Munich, BY, Germany ",10/17/20,62,Business,10,"$150,000"
4,IBM,"Austin, TX ",10/16/20,Band 9,Data,19,"$190,000"
5,PayPal,"San Jose, CA ",10/16/20,L26,Full Stack,15,"$238,000"
6,Google,"Los Angeles, CA ",10/15/20,L4,Cloud, 3,"$180,000"
7,Microsoft,"Seattle, WA ",10/15/20,65,Data,17,"$300,000"
8,Amazon,"Sydney, NS, Australia ",10/15/20,L5,Data center,12,"$160,000"
9,Boeing,"Bellevue, WA ",10/15/20,L5,IT,24,"$220,000"
10,TCS,"Oldsmar, FL ",10/15/20,Consultant,Data,15,"$90,000"
11,Microsoft,"Redmond, WA ",10/15/20,64,DevOps,10,"$330,000"
12,Microsoft,"Redmond, WA ",10/15/20,63,Security,15,"$200,000"
13,Indeed,"Austin, TX ",10/15/20,L8,Data,24,"$330,000"
14,T-Mobile,"San Francisco, CA ",10/14/20,L8,Networking,15,"$171,000"
15,Oracle,"Denver, CO ",10/14/20,IC-4,DevOps, 8,"$221,000"
16,Google,"San Francisco, CA ",10/14/20,L4,Compliance, 3,"$316,000"
17,sap,"Washington, DC ",10/14/20,4.3,Site Reliability (SRE),20,"$280,000"
18,Uber,"Hyderabad, AP, India ",10/14/20,Technical program manager,Salesforce,12,"$100,000"
19,Ford Motor,"Dearborn, MI ",10/14/20,GSR8,Android,10,"$132,000"
20,Google,"New York, NY ",10/14/20,L4,Mobile (iOS + Android),10,"$211,000"
21,AT&T,"Atlanta, GA ",10/14/20,M2,Networking,25,"$155,000"
22,JPMorgan Chase,"Jersey City, NJ ",10/13/20,Executive Director,Site Reliability (SRE),29,"$425,000"
23,EPAM Systems,"Minsk, MI, Belarus ",10/13/20,M1,Data,16,"$66,000"
24,Facebook,"Seattle, WA ",10/12/20,L4 Product Manager,Distributed Systems (Back-End), 8,"$199,000"
25,Lockheed Martin,"Sunnyvale, CA ",10/12/20,L5,Testing (SDET),23,"$242,000"
26,Google,"Mountain View, CA ",10/12/20,L4,Android, 3,"$197,000"
27,Google,"Boulder, CO ",10/12/20,L4,Distributed Systems (Back-End),12,"$262,000"
28,Apple,"San Francisco, CA ",10/11/20,L4,iOS,10,"$250,000"
29,Amazon,"Seattle, WA ",10/11/20,L6,Cloud Services,,"$259,000"
30,Apple,"Austin, TX ",10/11/20,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,Facebook,"Seattle, WA", 9/13/20,L5,Production,,"$313,000"
101,Deloitte,"Seattle, WA", 9/13/20,L3,DevOps,,"$229,000"
102,Microsoft,"London, EN, United Kingdom", 9/13/20,63,Security,,"$165,000"
103,Vanguard,"Malvern, PA", 9/12/20,TM05,Full Stack,,"$245,000"
104,Lyft,"San Francisco, CA", 9/12/20,T5,Full Stack,,"$390,000"
105,Facebook,"Menlo Park, CA", 9/11/20,IC6,Infra,,"$345,000"
106,Cruise,"San Francisco, CA", 9/11/20,Senior Software Engineer,Full Stack,,"$308,000"
107,Visa,"Austin, TX", 9/11/20,L8,Product Management,,"$250,000"
108,Google,"Mountain View, CA", 9/10/20,L4,Analytics,,"$192,000"
109,Google,"Seattle, WA", 9/10/20,L5,Data,,"$265,000"
110,Microsoft,"Redmond, W",| 9/9/20,65,Cloud,,"$312,000"
111,Bank of America,"Los Angeles, C",| 9/9/20,VP,Project Management,,"$130,000"
112,Microsoft,"New York, N",| 9/9/20,64,Cloud,,"$269,000"
113,Microsoft,"Redmond, W",| 9/8/20,66,"IoT, Security, ML",,"$475,000"
114,Raytheon,"Hartford, C",| 9/8/20,P4,Platform Management,,"$113,000"
115,Amazon,"New York, N",| 9/8/20,L6,DevOps,,"$340,000"
116,Wayfair,"Boston, M",| 9/8/20,L3,Data,,"$166,000"
117,Booking.com,"Amsterdam, NH, Netherland",| 9/8/20,G,Production,,"$127,000"
118,Microsoft,"Redmond, W",| 9/8/20,67,Data,,"$479,000"
119,PayPal,"San Jose, C",| 9/7/20,T26,Data,,"$260,000"
120,Medallia,"San Francisco, C",| 9/7/20,L4,Full Stack,,"$280,000"
121,Raytheon,"Washington, D",| 9/6/20,G11,Security,,"$280,000"
